"Id","Name","ProductCode","Description","IsActive","Family","CurrencyIsoCode","ExternalDataSourceId","ExternalId","DisplayUrl","QuantityUnitOfMeasure","IsDeleted","IsArchived","StockKeepingUnit","SBQQ__AssetConversion__c","SBQQ__BatchQuantity__c","SBQQ__BlockPricingField__c","SBQQ__Component__c","SBQQ__CompoundDiscountRate__c","SBQQ__ConfigurationEvent__c","SBQQ__ConfigurationFieldSet__c","SBQQ__ConfigurationFields__c","SBQQ__ConfigurationFormTitle__c","SBQQ__ConfigurationType__c","SBQQ__ConfigurationValidator__c","SBQQ__ConfiguredCodePattern__c","SBQQ__ConfiguredDescriptionPattern__c","SBQQ__CostEditable__c","SBQQ__CostSchedule__c","SBQQ__CustomConfigurationPage__c","SBQQ__CustomConfigurationRequired__c","SBQQ__CustomerCommunityAvailability__c","SBQQ__DefaultPricingTable__c","SBQQ__DefaultQuantity__c","SBQQ__DescriptionLocked__c","SBQQ__DiscountCategory__c","SBQQ__DiscountSchedule__c","SBQQ__DynamicPricingConstraint__c","SBQQ__ExcludeFromMaintenance__c","SBQQ__ExcludeFromOpportunity__c","SBQQ__GenerateContractedPrice__c","SBQQ__HasConfigurationAttributes__c","SBQQ__Hidden__c","SBQQ__HidePriceInSearchResults__c","SBQQ__IncludeInMaintenance__c","SBQQ__NewQuoteGroup__c","SBQQ__NonDiscountable__c","SBQQ__NonPartnerDiscountable__c","SBQQ__OptionLayout__c","SBQQ__OptionSelectionMethod__c","SBQQ__Optional__c","SBQQ__PriceEditable__c","SBQQ__PricingMethodEditable__c","SBQQ__PricingMethod__c","SBQQ__ProductPictureID__c","SBQQ__QuantityEditable__c","SBQQ__QuantityScale__c","SBQQ__ReconfigurationDisabled__c","SBQQ__RenewalProduct__c","SBQQ__SortOrder__c","SBQQ__Specifications__c","SBQQ__SubscriptionBase__c","SBQQ__SubscriptionCategory__c","SBQQ__SubscriptionPercent__c","SBQQ__SubscriptionPricing__c","SBQQ__SubscriptionTarget__c","SBQQ__SubscriptionTerm__c","SBQQ__SubscriptionType__c","SBQQ__Taxable__c","SBQQ__TermDiscountLevel__c","SBQQ__TermDiscountSchedule__c","SBQQ__UpgradeCredit__c","SBQQ__UpgradeSource__c","SBQQ__UpgradeTarget__c","Product_Line__c","U_s_Occupied__c","Configuration__c","Custom_Product__c","SBQQ__AssetAmendmentBehavior__c","SBQQ__BillingFrequency__c","IsServer__c","IsCustomProduct__c","Product_Type__c","Business_Solution__c","Deployment_Options__c","SBQQ__BillingType__c","SBQQ__ChargeType__c","Server_Replacements__c","Commercial_Segment__c","SBQQ__ExternallyConfigurable__c","Help__c","Help_Text__c","help_link__c","Length__c","SBQQ__TaxCode__c","SBQQ__UpgradeRatio__c","Manager_Discount_Threshold__c","Finance_Discount_Threshold__c"
"01t1N00000EURKaQAP","Expense Reimbursement Unlimited","S-TE-PAYU","Automatically Reimburse an Unlimited Number of Expense Reports from Credit Card, ACH, or Wire Sources to ACH Accounts.","true","Software","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,"Fixed Price",,"12.0","Renewable","true",,,,,,,,,"false",,"Annual","false","false","Software",,,"Advance","Recurring",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"20.0","30.0"
"01t1N00000EURKbQAP","Billing Hours Tracking-changed","S-TE-BILL-modified","This module allows users to reduce billing errors and eliminate inefficiencies with accurate time tracking.","true","Software","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","false","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,"Fixed Price",,"12.0","Renewable","true",,,,,,"Power Cables",,,"false",,"Annual","false","false","Software",,,"Advance","Recurring",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"20.0","30.0"
"01t1N00000EURKcQAP","T&E Admin Training","S-TE-ADTR","Online Admin Training for the Time & Expense Suite","true","Services","USD",,,,,"false","false",,"One per quote line",,"Quantity","false",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","false",,,,,,,,,"false","Allow Refund",,"false","false","Training",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"10.0","20.0"
"01t1N00000EURKdQAP","Professional Services Project","SV-PRJ","Custom Implementation managed by in-house professional services, charged on a Time and Material basis.","true","Services","USD",,,,,"false","false",,,,"Quantity","false",,"Always",,,,"Required",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"true","true","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","false",,,,,,,,,"false","Allow Refund",,"false","false","Professional Services",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"10.0","20.0"
"01t1N00000EURKeQAP","Program Director","SV-PD","The Program Director provides executive leadership, subject matter expertise, and program oversight.","true","Services","USD",,,,,"false","false",,,,"Quantity","true",,"Add",,,,"Allowed",,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","false",,,,,,"Billing",,,"false","Allow Refund",,"false","false","Professional Services",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"10.0","20.0"
"01t1N00000EURKfQAP","Project Manager","SV-PMN","The Project Manager ensures a project's timely and efficient delivery by coordinating meetings, tracking progress, escalating issues, and proctoring weekly status reports.","true","Services","USD",,,,,"false","false",,,,"Quantity","true",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","true",,,,,,,,,"false","Allow Refund",,"false","false","Professional Services",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"10.0","20.0"
"01t1N00000EURKgQAP","Solutions Architect","SV-SAT","Our Solution Architects are responsible for analyzing customer requirements and designing the optimal solution capabilities.","true","Services","USD",,,,,"false","false",,,,"Quantity","true",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","true",,,,,,,,,"false","Allow Refund",,"false","false","Professional Services",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"10.0","20.0"
"01t1N00000EURKhQAP","Implementation Engineer","SV-IMP","Our certified Implementation Engineers bring a wealth of application expertise and integration experience to ensure the client's other systems are connected.","true","Services","USD",,,,,"false","false",,,,"Quantity","true",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","true",,,,,,,,,"false","Allow Refund",,"false","false","Professional Services",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"10.0","20.0"
"01t1N00000EURKiQAP","Additional Expense Report Reimbursement","S-TE-ADDR","Overage Rate per additional Expense Reports","true","Software","USD",,,,,"false","false",,"One per quote line",,"Quantity","true",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","true","false","List",,"false",,"false",,,,"List",,,,,,"Renewable","false",,,,,,,,,"false","Allow Refund","Monthly","false","false","Overage Charge",,,,"Usage",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"20.0","30.0"
"01t1N00000EURKjQAP","Professional Services Hours (Blended Rate)","SV-PSH","Consulting implementation package managed by in-house professional services. Rate is a blended rate with both time and materials.","true","Services","USD",,,,,"false","false",,,,"Quantity","false",,,,,,,,,,"false",,,"false",,,"1.0","false",,,,"false","false",,"false","false","false","false","false","true","false",,"Click","false","false","false","List",,"true",,"false",,,,"List",,,,,,"Renewable","false",,,,,,,,,"false","Allow Refund",,"false","false","Professional Services",,,,"One-Time",,,"false","<a href="" "" target=""blank""><img src=""/img/icon/livechattranscript32.png"" alt=""Help"" style=""height:32px; width:32px;"" border=""0""/></a>",,,,,,"10.0","20.0"
