"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Action__c","SBQQ__Active__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c","SBQQ__BrandButton__c","SBQQ__PageHandlerName__c","SBQQ__ReturnURL__c"
"a071N00000Ql9A1QAJ","false","Add Favorites","USD","Add Favorites","true","addFavoritesBtn","All","false",,"901.0","onAddFavorites",,,"Add Favorites","Quote/Group","Quote Line Editor","a071N00000Ql9AAQAZ",,"Button",,,"false",,
"a071N00000Ql9A2QAJ","false","Upgrade Assets","USD","Upgrade Assets","true","upgradeAssetsBtn","All","false",,"902.0","onUpgradeAssets",,,"Upgrade Assets","Quote/Group","Quote Line Editor","a071N00000Ql9AAQAZ",,"Button",,,"false",,
"a071N00000Ql9A3QAJ","false","Renew Subscriptions","USD","Renew Subscriptions","true","renewSubscriptionsBtn","All","false",,"903.0","onRenewSubscriptions",,,"Renew Subscriptions","Quote/Group","Quote Line Editor","a071N00000Ql9AAQAZ",,"Button",,,"false",,
"a071N00000Ql9A4QAJ","false","Reset Discounts - Group","USD","Reset Discounts","true","resetDiscBtn","All","false",,"950.0","onResetDiscounts",,,"Reset Discounts","Group","Quote Line Editor","a071N00000Ql9AAQAZ",,"Button",,,"false",,
"a071N00000Ql9A5QAJ","false","Optional: All - Group","USD","Optional: All","true","optionalAllBtn","All","false",,"951.0","updateLineOptional",,,"Optional: All","Group","Quote Line Editor","a071N00000Ql9AAQAZ",,"Button",,,"false",,
"a071N00000Ql9A6QAJ","false","Optional: None - Group","USD","Optional: None","true","optionalNoneBtn","All","false",,"952.0","updateLineOptional",,,"Optional: None","Group","Quote Line Editor","a071N00000Ql9AAQAZ",,"Button",,,"false",,
"a071N00000Ql9A7QAJ","false","Clone Group","USD","Clone Group","true","cloneGroupBtn","All","false",,"953.0","onCloneGroup",,,"Clone Group","Group","Quote Line Editor","a071N00000Ql9AAQAZ",,"Button",,,"false",,
"a071N00000Ql9A8QAJ","false","Delete Group","USD","Delete Group","true","deleteGroupBtn","All","false",,"954.0","onDeleteGroup",,,"Delete Group","Group","Quote Line Editor","a071N00000Ql9AAQAZ",,"Button",,,"false",,
"a071N00000Ql9A9QAJ","false","Generate Document","USD",,"true",,"All","false",,"905.0",,,,"Generate Document","Quote","Quote Line Editor","a071N00000Ql9ABQAZ",,"Button","Replace Page","https://sbqq.na30.visual.force.com/apex/SBQQ__GenerateDocument?scontrolCaching=1&id={!Id}","false",,
"a071N00000Ql9AaQAJ","false","Import Lines","USD","Import Lines","true",,"All","false",,"914.0",,,,"Import Lines","Quote Panel","Quote Detail",,,"Button",,,"false","ImportLines",
"a071N00000Ql9AAQAZ","false","Add Products","USD","Add Products","true","addProductsBtn","All","true",,"900.0","onAddProducts",,,"Add Products","Quote/Group","Quote Line Editor",,,"Menu",,,"false",,
"a071N00000Ql9AbQAJ","false","Modify Quote Terms","USD","Modify Quote Terms","true",,"All","false",,"915.0",,,,"Modify Quote Terms","Quote Panel","Quote Detail",,,"Button",,,"false","QuoteTermEditor",
"a071N00000Ql9ABQAZ","false","Quick Save","USD","Quick Save","true","quickSaveBtn","All","false",,"906.0","onQuickSave",,,"Quick Save","Quote","Quote Line Editor",,,"Menu",,,"false",,
