"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Account__c","SBQQ__AggregationScope__c","SBQQ__ConstraintField__c","SBQQ__CrossOrders__c","SBQQ__CrossProducts__c","SBQQ__Description__c","SBQQ__DiscountUnit__c","SBQQ__ExcludedPricebookIds__c","SBQQ__IncludeBundledProducts__c","SBQQ__OriginalDiscountSchedule__c","SBQQ__OverrideBehavior__c","SBQQ__PriceScale__c","SBQQ__Pricebook__c","SBQQ__Product__c","SBQQ__QuoteLineQuantityField__c","SBQQ__QuoteLine__c","SBQQ__Quote__c","SBQQ__Type__c","SBQQ__UsePriceForAmount__c","SBQQ__UserDefined__c","SBQQ__OrderProduct__c","SBQQ__Order__c"
"a0C1N00000Gum96UAB","false","T&E User Discount Schedule","USD",,,,"true","true",,"Percent",,"false",,"All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum97UAB","false","Tooless Cable Managment","USD",,,,"false","false",,"Percent",,"false",,,"2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum98UAB","false","Hardware Maintenance Term Discount","USD",,"Quote",,"false","false",,"Percent",,"false",,"All","2.0","01s1N000006ode7QAA","01t1N00000EURLkQAP","Quantity",,,"Range","false","false",,
"a0C1N00000Gum99UAB","false","Term Discount on Software Maintenance","USD",,"Quote",,"false","false",,"Percent",,"false",,,"2.0","01s1N000006ode7QAA","01t1N00000EURLlQAP","Quantity",,,"Range","false","false",,
"a0C1N00000Gum9aUAB","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9AUAR","false","Finance and Reporting User Discount Schedule","USD",,,,"true","true",,"Percent",,"false",,"All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9bUAB","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9BUAR","false","T&E User Discount Schedule","USD","0011N00001DJvMPQA1",,,"true","true",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,"a0j1N00000BD8dJQAT","Range","false","true",,
"a0C1N00000Gum9cUAB","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9dUAB","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,,,,"Range","false","false",,
"a0C1N00000Gum9eUAB","false","T&E User Discount Schedule","USD",,,,"true","true",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","true",,
"a0C1N00000Gum9EUAR","false","T&E User Discount Schedule","USD","0011N00001DJvMxQAL",,,"true","true",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","true",,
"a0C1N00000Gum9FUAR","false","T&E User Discount Schedule for DELL","USD","0011N00001DJvN2QAL",,,"true","true",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,"a0j1N00000BD8ZVQA1","Range","false","true",,
"a0C1N00000Gum9GUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9HUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9IUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9JUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9KUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9lUAB","false","T&E User Discount Schedule","USD","0011N00001DJvN0QAL",,,"true","true",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,"a0j1N00000BD8fpQAD","Range","false","true",,
"a0C1N00000Gum9LUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9MUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,"8011N000001U0ioQAC"
"a0C1N00000Gum9NUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9oUAB","false","T&E User Discount Schedule","USD","0011N00001DJvN0QAL",,,"true","true",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,"a0j1N00000BD8g9QAD","Range","false","true",,
"a0C1N00000Gum9OUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9PUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9QUAR","false","*INTERNAL*a0C41000000ooClEAI","USD",,,,"false","false",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,,"Range","false","false",,
"a0C1N00000Gum9RUAR","false","T&E User Discount Schedule - Erik's","USD","0011N00001DJvNmQAL",,,"true","true",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,"a0j1N00000BD8acQAD","Range","false","true",,
"a0C1N00000Gum9SUAR","false","T&E User Discount Schedule","USD","0011N00001DJvNmQAL",,,"true","true",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,"a0j1N00000BD8acQAD","Range","false","true",,
"a0C1N00000Gum9TUAR","false","T&E User Discount Schedule","USD","0011N00001DJvNmQAL",,,"true","true",,"Percent",,"false","a0C1N00000Gum9SUAR","All","2.0",,,"Quantity",,"a0j1N00000BD8acQAD","Range","false","true",,
"a0C1N00000Gum9UUAR","false","T&E User Discount Schedule","USD","0011N00001DJvNmQAL",,,"true","true",,"Percent",,"false","a0C1N00000Gum9TUAR","All","2.0",,,"Quantity",,"a0j1N00000BD8acQAD","Range","false","true",,
"a0C1N00000Gum9VUAR","false","T&E User Discount Schedule","USD","0011N00001DJvNmQAL",,,"true","true",,"Percent",,"false","a0C1N00000Gum9UUAR","All","2.0",,,"Quantity",,"a0j1N00000BD8acQAD","Range","false","true",,
"a0C1N00000Gum9WUAR","false","New T&E User Discount Schedule - Erik","USD","0011N00001DJvNmQAL",,,"true","true",,"Percent",,"false","a0C1N00000Gum96UAB","All","2.0",,,"Quantity",,"a0j1N00000BD8acQAD","Range","false","true",,
