"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Template__c","SBQQ__Alignment__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeadingField__c","SBQQ__ConditionalPrintField__c","SBQQ__DisplayOrder__c","SBQQ__DynamicNumberScale__c","SBQQ__FieldName__c","SBQQ__FontFamily__c","SBQQ__FontSize__c","SBQQ__FontWeight__c","SBQQ__HeadingTextColor__c","SBQQ__HideOnComponents__c","SBQQ__LeftMargin__c","SBQQ__RightMargin__c","SBQQ__RollUp__c","SBQQ__Section__c","SBQQ__SeparateLine__c","SBQQ__SubGroupSummaryLabel__c","SBQQ__SummaryFontWeight__c","SBQQ__SummaryFunction__c","SBQQ__SummaryLabel__c","SBQQ__SummaryLevel__c","SBQQ__SummaryShadingColor__c","SBQQ__SummaryTextColor__c","SBQQ__TextColor__c","SBQQ__TopMargin__c","SBQQ__WidthDiscardedWhenHidden__c","SBQQ__Width__c"
"a0O1N00000APRr7UAH","false","QTY","USD","a0h1N0000064LxTQAU","Left",,,,"10.0","false","SBQQ__Quantity__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","5.0"
"a0O1N00000APRr8UAH","false","PART #","USD","a0h1N0000064LxTQAU","Left",,,,"20.0","false","SBQQ__ProductCode__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRr9UAH","false","DESCRIPTION","USD","a0h1N0000064LxTQAU","Left",,,,"30.0","false","SBQQ__Description__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","50.0"
"a0O1N00000APRraUAH","false","PART #","USD","a0h1N0000064LxXQAU","Left",,,,"20.0","false","SBQQ__ProductCode__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrAUAX","false","UNIT PRICE","USD","a0h1N0000064LxTQAU","Right",,,,"40.0","false","SBQQ__ListPrice__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrbUAH","false","DESCRIPTION","USD","a0h1N0000064LxXQAU","Left",,,,"30.0","false","SBQQ__Description__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","50.0"
"a0O1N00000APRrBUAX","false","DISC (%)","USD","a0h1N0000064LxTQAU","Right",,,,"50.0","false","SBQQ__Discount__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrcUAH","false","UNIT PRICE","USD","a0h1N0000064LxXQAU","Right",,,,"40.0","false","SBQQ__ListPrice__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrCUAX","false","EXTENDED","USD","a0h1N0000064LxTQAU","Right",,,,"60.0","false","SBQQ__NetTotal__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","15.0"
"a0O1N00000APRrdUAH","false","DISC (%)","USD","a0h1N0000064LxXQAU","Right",,,,"50.0","false","SBQQ__Discount__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrDUAX","false","NET PRICE","USD","a0h1N0000064LxUQAU","Center",,,"Print_Line_Item_Prices__c","60.0","false","NetUnitPrice__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRreUAH","false","EXTENDED","USD","a0h1N0000064LxXQAU","Right",,,,"60.0","false","SBQQ__NetTotal__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","15.0"
"a0O1N00000APRrEUAX","false","QTY","USD","a0h1N0000064LxVQAU","Center",,,,"10.0","false","SBQQ__Quantity__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrfUAH","false","Duration (Hours)","USD","a0h1N0000064LxYQAU","Center",,,,"10.0","false","SBQQ__Quantity__c",,,"Normal",,"false","3.0","3.0","false","a0u1N00000bImQZQA0","false",,,,,,,,,,"false","20.0"
"a0O1N00000APRrFUAX","false","PART #","USD","a0h1N0000064LxVQAU","Center",,,,"20.0","false","SBQQ__ProductCode__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrgUAH","false","Role","USD","a0h1N0000064LxYQAU","Left",,,,"5.0","false","SBQQ__Description__c",,,"Normal",,"false","3.0","3.0","false","a0u1N00000bImQZQA0","false",,,,,,,,,,"false","40.0"
"a0O1N00000APRrGUAX","false","DESCRIPTION","USD","a0h1N0000064LxVQAU","Left",,,,"30.0","false","SBQQ__Description__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","40.0"
"a0O1N00000APRrhUAH","false","Discount (%)","USD","a0h1N0000064LxYQAU","Center",,,"Print_Discount__c","50.0","false","Additional_Discount_Calc__c",,,"Normal",,"false","3.0","3.0","false","a0u1N00000bImQZQA0","false",,,,,,,,,,"false","10.0"
"a0O1N00000APRrHUAX","false","UNIT PRICE","USD","a0h1N0000064LxVQAU","Center",,,"Print_Line_Item_Prices__c","40.0","false","SBQQ__ListPrice__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRriUAH","false","Rate","USD","a0h1N0000064LxYQAU","Center",,,"Print_Line_Item_Prices__c","65.0","false","SBQQ__NetPrice__c",,,"Normal",,"false","3.0","3.0","false","a0u1N00000bImQZQA0","false",,,,,,,,,,"false","10.0"
"a0O1N00000APRrIUAX","false","DISC (%)","USD","a0h1N0000064LxVQAU","Center",,,"Print_Discount__c","50.0","false","Additional_Discount_Calc__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrjUAH","false","Resource Level","USD","a0h1N0000064LxYQAU","Center",,,,"1.0","false","SBQQ__ProductName__c",,,"Normal",,"false","3.0","3.0","false","a0u1N00000bImQZQA0","false",,,,,,,,,,"false","20.0"
"a0O1N00000APRrJUAX","false","EXTENDED","USD","a0h1N0000064LxVQAU","Center",,,"Print_Line_Item_Prices__c","65.0","false","SBQQ__NetTotal__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrkUAH","false","QTY","USD","a0h1N0000064LxZQAU","Center",,,,"10.0","false","SBQQ__Quantity__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrKUAX","false","NET PRICE","USD","a0h1N0000064LxVQAU","Center",,,"Print_Line_Item_Prices__c","60.0","false","NetUnitPrice__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrlUAH","false","PART #","USD","a0h1N0000064LxZQAU","Center",,,,"20.0","false","SBQQ__ProductCode__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrLUAX","false","QTY","USD","a0h1N0000064LxUQAU","Center",,,,"10.0","false","SBQQ__Quantity__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrmUAH","false","DESCRIPTION","USD","a0h1N0000064LxZQAU","Left",,,,"30.0","false","SBQQ__Description__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","40.0"
"a0O1N00000APRrMUAX","false","PART #","USD","a0h1N0000064LxUQAU","Center",,,,"20.0","false","SBQQ__ProductCode__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrnUAH","false","UNIT PRICE","USD","a0h1N0000064LxZQAU","Center",,,"Print_Line_Item_Prices__c","40.0","false","SBQQ__ListPrice__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrNUAX","false","DESCRIPTION","USD","a0h1N0000064LxUQAU","Left",,,,"30.0","false","SBQQ__Description__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","40.0"
"a0O1N00000APRroUAH","false","DISC (%)","USD","a0h1N0000064LxZQAU","Center",,,"Print_Discount__c","50.0","false","Additional_Discount_Calc__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrOUAX","false","UNIT PRICE","USD","a0h1N0000064LxUQAU","Center",,,"Print_Line_Item_Prices__c","40.0","false","SBQQ__ListPrice__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrpUAH","false","EXTENDED","USD","a0h1N0000064LxZQAU","Center",,,"Print_Line_Item_Prices__c","65.0","false","SBQQ__NetTotal__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrPUAX","false","DISC (%)","USD","a0h1N0000064LxUQAU","Center",,,"Print_Discount__c","50.0","false","Additional_Discount_Calc__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrqUAH","false","NET PRICE","USD","a0h1N0000064LxZQAU","Center",,,"Print_Line_Item_Prices__c","60.0","false","NetUnitPrice__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
"a0O1N00000APRrQUAX","false","EXTENDED","USD","a0h1N0000064LxUQAU","Center",,,"Print_Line_Item_Prices__c","65.0","false","SBQQ__NetTotal__c",,,"Normal",,"false","3.0","3.0","false",,"false",,,,,"All",,,,,"false","10.0"
