"Id","IsDeleted","CurrencyIsoCode","SBQQ__Rule__c","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Type__c","SBQQ__ValueField__c","SBQQ__ValueObject__c","SBQQ__ValueAttribute__c","SBQQ__ParentRuleIsActive__c"
"a0Z1N00000Eo4acUAB","false","USD","a0c1N00000MVcZYQA1",,,,"01t1N00000EURL8QAP","false","Show",,,,"true"
"a0Z1N00000Eo4adUAB","false","USD","a0c1N00000MVcZYQA1",,,,"01t1N00000EURL9QAP","false","Show",,,,"true"
"a0Z1N00000Eo4aeUAB","false","USD","a0c1N00000MVcZZQA1",,,,"01t1N00000EURL8QAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4afUAB","false","USD","a0c1N00000MVcZZQA1",,,,"01t1N00000EURL9QAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4agUAB","false","USD","a0c1N00000MVcZaQAL",,,,"01t1N00000EURLFQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4ahUAB","false","USD","a0c1N00000MVcZaQAL",,,,"01t1N00000EURLhQAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4aiUAB","false","USD","a0c1N00000MVcZbQAL",,,,"01t1N00000EURLFQA5","false","Show",,,,"true"
"a0Z1N00000Eo4ajUAB","false","USD","a0c1N00000MVcZbQAL",,,,"01t1N00000EURLhQAP","false","Show",,,,"true"
"a0Z1N00000Eo4akUAB","false","USD","a0c1N00000MVcZcQAL",,,,"01t1N00000EURLYQA5","false","Show",,,,"true"
"a0Z1N00000Eo4alUAB","false","USD","a0c1N00000MVcZcQAL",,,,"01t1N00000EURLZQA5","false","Show",,,,"true"
"a0Z1N00000Eo4amUAB","false","USD","a0c1N00000MVcZdQAL",,,,"01t1N00000EURLYQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4anUAB","false","USD","a0c1N00000MVcZdQAL",,,,"01t1N00000EURLZQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4aoUAB","false","USD","a0c1N00000MVcZeQAL",,,,"01t1N00000EURLVQA5","false","Add",,,,"true"
"a0Z1N00000Eo4apUAB","false","USD","a0c1N00000MVcZeQAL",,,,"01t1N00000EURLIQA5","false","Add",,,,"true"
"a0Z1N00000Eo4aqUAB","false","USD","a0c1N00000MVcZeQAL",,,,"01t1N00000EURKzQAP","false","Add",,,,"true"
"a0Z1N00000Eo4arUAB","false","USD","a0c1N00000MVcZnQAL",,,,"01t1N00000EURKZQA5","false","Show & Add",,,,"true"
"a0Z1N00000Eo4asUAB","false","USD","a0c1N00000MVcZnQAL",,,,"01t1N00000EURMGQA5","false","Show",,,,"true"
"a0Z1N00000Eo4atUAB","false","USD","a0c1N00000MVcZoQAL",,,,"01t1N00000EURKZQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4auUAB","false","USD","a0c1N00000MVcZoQAL",,,,"01t1N00000EURMGQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4avUAB","false","USD","a0c1N00000MVcZqQAL",,,,"01t1N00000EURLlQAP","false","Show & Add",,,,"true"
"a0Z1N00000Eo4awUAB","false","USD","a0c1N00000MVcZrQAL",,,,"01t1N00000EURMDQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4axUAB","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURLUQA5","false","Show & Add",,,,"true"
"a0Z1N00000Eo4ayUAB","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURLTQA5","false","Show & Add",,,,"true"
"a0Z1N00000Eo4azUAB","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURLVQA5","false","Show & Add",,,,"true"
"a0Z1N00000Eo4b0UAB","false","USD","a0c1N00000MVcZhQAL",,,,"01t1N00000EURKtQAP","false","Show & Add",,,,"true"
"a0Z1N00000Eo4b1UAB","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURLIQA5","false","Show & Add",,,,"true"
"a0Z1N00000Eo4b2UAB","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURKuQAP","false","Show & Add",,,,"true"
"a0Z1N00000Eo4b3UAB","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURLJQA5","false","Show & Add",,,,"true"
"a0Z1N00000Eo4b4UAB","false","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURKtQAP","false","Show & Add",,,,"true"
