"Id","IsDeleted","CurrencyIsoCode","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__PriceEditable__c","SBQQ__ProductCode__c","SBQQ__ProductConfigurationType__c","SBQQ__ProductDescription__c","SBQQ__ProductFamily__c","SBQQ__ProductName__c","SBQQ__ProductQuantityScale__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c","SBQQ__ProductSubscriptionPricing__c","Memory_Config__c","Hide_Option__c","OSKUProduct_Line__c","FeatureName__c","UsPerUnit__c","SBQQ__RenewalProductOption__c","Configuration__c","IsServer__c","Engineering_Options__c","Resource_Location__c","Assumptions_Comments_PM__c","Assumptions_Comments_ER__c","Assumptions_Comments_SA__c","Role__c","Role_Description__c","Cable_Length__c","Deployment__c","Number_of_Areas__c","Area__c","Percent_of_Total__c","Number_of_Sections_and_Subsections__c","Number_of__c"
"a0b1N00000CoL8aQAF","false","USD",,"false","false",,,,,"01t1N00000EURLpQAP",,,,,"false",,"a0a1N0000085v3uQAA",,,"310.0","01t1N00000EURKcQAP","No","S-TE-ADTR",,"Online Admin Training for the Time & Expense Suite","Services","T&E Admin Training",,"true","1.0",,"false","true",,"false","Related Product",,"false",,"Performance Optimized","false",,"Training","0.0",,,"false",,,,,,"T&E Admin Training","Online Admin Training for the Time & Expense Suite",,,,,"0%",,
"a0b1N00000CoL8bQAF","false","USD",,"false","false",,,,,"01t1N00000EURLpQAP",,,,,"false",,"a0a1N0000085v3vQAA",,,"440.0","01t1N00000EURKdQAP","No","SV-PRJ","Required","Custom Implementation managed by in-house professional services, charged on a Time and Material basis.","Services","Professional Services Project",,"false","1.0",,"false","false",,"false","Component",,"false",,"Performance Optimized","false",,"Services","0.0",,,"false",,,,,,"Professional Services Project","Custom Implementation managed by in-house professional services, charged on a Time and Material basis.",,,,,"0%",,
"a0b1N00000CoL8cQAF","false","USD",,"false","false",,,,,"01t1N00000EURKdQAP",,,,,"false",,"a0a1N0000085v3aQAA",,"2.0","110.0","01t1N00000EURKeQAP","No","SV-PD","Allowed","The Program Director provides executive leadership, subject matter expertise, and program oversight.","Services","Program Director",,"true","8.0",,"false","false",,"false","Related Product",,"false",,"Performance Optimized","false","Billing","Project Management","0.0",,,"false",,,,,,"Program Director","The Program Director provides executive leadership, subject matter expertise, and program oversight.",,,,,"0%",,
"a0b1N00000CoL8dQAF","false","USD",,"false","false",,,,,"01t1N00000EURKdQAP",,,,,"false",,"a0a1N0000085v3aQAA",,"2.0","120.0","01t1N00000EURKfQAP","No","SV-PMN",,"The Project Manager ensures a project's timely and efficient delivery by coordinating meetings, tracking progress, escalating issues, and proctoring weekly status reports.","Services","Project Manager",,"true","8.0",,"true","true",,"false","Related Product",,"false",,"Performance Optimized","false",,"Project Management","0.0",,,"false",,,,,,"Project Manager","The Project Manager ensures a project's timely and efficient delivery by coordinating meetings, tracking progress, escalating issues, and proctoring weekly status reports.",,,,,"0%",,
"a0b1N00000CoL8eQAF","false","USD",,"false","false",,,,,"01t1N00000EURKdQAP",,,,,"false",,"a0a1N0000085v3bQAA",,"2.0","210.0","01t1N00000EURKgQAP","No","SV-SAT",,"Our Solution Architects are responsible for analyzing customer requirements and designing the optimal solution capabilities.","Services","Solutions Architect",,"true","16.0",,"false","true",,"false","Related Product",,"false",,"Performance Optimized","false",,"Solution Architecture","0.0",,,"false",,,,,,"Solutions Architect","Our Solution Architects are responsible for analyzing customer requirements and designing the optimal solution capabilities.",,,,,"0%",,
"a0b1N00000CoL8fQAF","false","USD",,"false","false",,,,,"01t1N00000EURKdQAP",,,,,"false",,"a0a1N0000085v3ZQAQ",,"8.0","310.0","01t1N00000EURKhQAP","No","SV-IMP",,"Our certified Implementation Engineers bring a wealth of application expertise and integration experience to ensure the client's other systems are connected.","Services","Implementation Engineer",,"true","20.0",,"false","true",,"false","Related Product",,"false",,"Performance Optimized","false",,"Engineering Resources","0.0",,,"false",,,,,,"Implementation Engineer","Our certified Implementation Engineers bring a wealth of application expertise and integration experience to ensure the client's other systems are connected.",,,,,"0%",,
"a0b1N00000CoL8gQAF","false","USD",,"false","false",,,,,"01t1N00000EURLqQAP",,,,,"false",,,,,"100.0","01t1N00000EURKiQAP","Yes","S-TE-ADDR",,"Overage Rate per additional Expense Reports","Software","Additional Expense Report Reimbursement",,"false","1.0",,"true","true",,"false","Accessory",,"false",,"Performance Optimized","false",,,"0.0",,,"false","Extended Care","Onsite",,,,"Additional Expense Report Reimbursement","Overage Rate per additional Expense Reports",,,,,"0%",,
"a0b1N00000CoL8hQAF","false","USD",,"false","false",,,,,"01t1N00000EURLpQAP",,,,,"false",,"a0a1N0000085v3vQAA",,"10.0","420.0","01t1N00000EURKjQAP","No","SV-PSH",,"Consulting implementation package managed by in-house professional services. Rate is a blended rate with both time and materials.","Services","Professional Services Hours (Blended Rate)",,"true","25.0",,"false","true",,"false","Related Product",,"false",,"Performance Optimized","false",,"Services","0.0",,,"false",,,,,,"Professional Services Hours (Blended Rate)","Consulting implementation package managed by in-house professional services. Rate is a blended rate with both time and materials.",,,,,"0%",,
"a0b1N00000CoL8iQAF","false","USD",,"false","false",,,,,"01t1N00000EURKdQAP",,,,,"false",,"a0a1N0000085v3ZQAQ",,"2.0","320.0","01t1N00000EURKkQAP","No","SV-DNE",,"Data Normalization Experts engage early in the project and assist customers in normalizing, cleaning, and de-duping data, and can perform upload and update functions.","Services","Data Normalization Expert",,"true","8.0",,"false","false",,"false","Related Product",,"false",,"Performance Optimized","false",,"Engineering Resources","0.0",,,"false",,,,,,"Data Normalization Expert","Data Normalization Experts engage early in the project and assist customers in normalizing, cleaning, and de-duping data, and can perform upload and update functions.",,,,,"0%",,
"a0b1N00000CoL8jQAF","false","USD",,"false","false",,,,,"01t1N00000EURKdQAP",,,,,"false",,"a0a1N0000085v3ZQAQ",,"2.0","340.0","01t1N00000EURKlQAP","No","SV-QAE",,"Quality Assurance Engineers test and support the activities prior to a successful Go-Live launch.","Services","Quality Assurance Engineer",,"true","8.0",,"false","false",,"false","Related Product",,"false",,"Performance Optimized","false",,"Engineering Resources","0.0",,,"false",,,,,,"Quality Assurance Engineer","Quality Assurance Engineers test and support the activities prior to a successful Go-Live launch.",,,,,"0%",,
