"Id","IsDeleted","CurrencyIsoCode","LastActivityDate","SBQQ__Active__c","SBQQ__AdvancedCondition__c","SBQQ__Body__c","SBQQ__ConditionsMet__c","SBQQ__ParentTerm__c","SBQQ__PrintOrder__c","SBQQ__Quote__c","SBQQ__StandardTerm__c","SBQQ__Status__c","SBQQ__TemplateContent__c","SBQQ__Type__c","Section__c","Standard_Demo_Clause__c","Template__c","SBQQ__Locked__c"
"a0i1N0000073NwjQAE","false","USD",,"false",,"<p><strong>Master Subscription Agreement</strong></p>

<p> </p>

<p>THIS MASTER SUBSCRIPTION AGREEMENT (&quot;AGREEMENT&quot;) GOVERNS YOUR PURCHASE OF SUBSCRIPTIONS TO, AND ONGOING USE OF, INFINITY SOLUTIONS CPQ APPLICATION AND/OR RELATED SERVICES.</p>

<p> </p>

<p>BY ACCEPTING THIS AGREEMENT, EITHER BY CLICKING A BOX INDICATING YOUR ACCEPTANCE OR BY EXECUTING AN ORDER FORM THAT REFERENCES THIS AGREEMENT, YOU AGREE TO THE TERMS OF THIS AGREEMENT. IF YOU ARE ENTERING INTO THIS AGREEMENT ON BEHALF OF A COMPANY OR OTHER LEGAL ENTITY, YOU REPRESENT THAT YOU HAVE THE AUTHORITY TO BIND SUCH ENTITY AND ITS AFFILIATES TO THESE TERMS AND CONDITIONS, IN WHICH CASE THE TERMS &quot;YOU&quot; OR &quot;YOUR&quot; SHALL REFER TO SUCH ENTITY AND ITS AFFILIATES. IF YOU DO NOT HAVE SUCH AUTHORITY, OR IF YOU DO NOT AGREE WITH THESE TERMS AND CONDITIONS, YOU MUST NOT ACCEPT THIS AGREEMENT AND MAY NOT USE THE SERVICES.</p>

<p> </p>

<p>You may not access the Services if You are Our direct competitor, except with Our prior written consent. In addition, You may not access the Services for purposes of monitoring their availability, performance or functionality, or for any other benchmarking or competitive purposes.</p>

<p> </p>

<p>This Agreement was last updated on March 24, 2014. It is effective between You and Us as of the date of You accepting this Agreement.</p>","All",,"0.9","a0j1N00000BD8ZoQAL","a0i1N0000073NwpQAE","In Review",,"Modified",,"false",,"false"
"a0i1N0000073NwkQAE","false","USD",,"true",,"<p><strong>Master Subscription Agreement</strong></p>

<p> </p>

<p>THIS MASTER SUBSCRIPTION AGREEMENT (&quot;AGREEMENT&quot;) GOVERNS YOUR PURCHASE OF SUBSCRIPTIONS TO, AND ONGOING USE OF, INFINITY SOLUTIONS CPQ APPLICATION AND/OR RELATED SERVICES.</p>

<p>yeeeeeah</p>

<p>BY ACCEPTING THIS AGREEMENT, EITHER BY CLICKING A BOX INDICATING YOUR ACCEPTANCE OR BY EXECUTING AN ORDER FORM THAT REFERENCES THIS AGREEMENT, YOU AGREE TO THE TERMS OF THIS AGREEMENT. IF YOU ARE ENTERING INTO THIS AGREEMENT ON BEHALF OF A COMPANY OR OTHER LEGAL ENTITY, YOU REPRESENT THAT YOU HAVE THE AUTHORITY TO BIND SUCH ENTITY AND ITS AFFILIATES TO THESE TERMS AND CONDITIONS, IN WHICH CASE THE TERMS &quot;YOU&quot; OR &quot;YOUR&quot; SHALL REFER TO SUCH ENTITY AND ITS AFFILIATES. IF YOU DO NOT HAVE SUCH AUTHORITY, OR IF YOU DO NOT AGREE WITH THESE TERMS AND CONDITIONS, YOU MUST NOT ACCEPT THIS AGREEMENT AND MAY NOT USE THE SERVICES.</p>

<p> </p>

<p>You may not access the Services if You are Our direct competitor, except with Our prior written consent. In addition, You may not access the Services for purposes of monitoring their availability, performance or functionality, or for any other benchmarking or competitive purposes.</p>

<p> </p>

<p>This Agreement was last updated on March 20, 2014. It is effective between You and Us as of the date of You accepting this Agreement.</p>","All",,"0.9","a0j1N00000BD8aNQAT","a0i1N0000073NwpQAE","Approved",,"Modified",,"false",,"false"
"a0i1N0000073NwlQAE","false","USD",,"true",,"<p><strong>9. LIMITATION OF LIABILITY</strong></p>

<p> </p>

<p><strong>9.1. Limitation of Liability.</strong> Big Change on this term </p>

<p> </p>

<p><strong>9.2. Exclusion of Consequential and Related Damages. </strong>IN NO EVENT SHALL EITHER PARTY HAVE ANY LIABILITY TO THE OTHER PARTY FOR ANY LOST PROFITS OR REVENUES OR FOR ANY INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL, COVER, OR PUNITIVE DAMAGES HOWEVER CAUSED, WHETHER IN CONTRACT, TORT, OR UNDER ANY OTHER THEORY OF LIABILITY, AND WHETHER OR NOT THE PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. THE FOREGOING DISCLAIMER SHALL NOT APPLY TO THE EXTENT PROHIBITED BY APPLICABLE LAW.<br> </p>","All",,"9.0","a0j1N00000BD9vQQAT","a0i1N0000073Ny0QAE","Approved",,"Modified",,"false",,"false"
"a0i1N0000073NwmQAE","false","USD",,"true",,"<b>2.3. Product Specifc Services.</b> 84.51 new clause that we are adding in here.<span>​</span><br> ","Any",,"2.1","a0j1N00000BD8eXQAT","a0i1N0000073Nx2QAE","Approved",,"Modified",,"false",,"false"
"a0i1N0000073NwnQAE","false","USD",,"true",,"<div><b>nothing</b></div>","All",,"1.0","a0j1N00000BD8ZNQA1","a0i1N0000073NwqQAE","Approved","a0t1N00000EeciaQAB","Modified",,"false",,"false"
"a0i1N0000073NwoQAE","false","USD",,"false",,"<div><strong>1. DEFINITIONS</strong></div>
 

<div>&quot;Affiliate&quot; means any entity which directly or indirectly controls, is controlled by, or is under common control with the subject entity.</div>
 

<div>&quot;Control&quot; for purposes of this definition, means direct or indirect ownership or control of more than 50% of the voting interests of the subject entity.</div>
 

<div>&quot;AppExchange&quot; means the online directory of applications that interoperate with the Services, located at http://www.salesforce.com/appexchange or at any successor websites.</div>
 

<div>&quot;Malicious Code&quot; means viruses, worms, time bombs, Trojan horses and other harmful or malicious code, files, scripts, agents or programs.</div>
 

<div>&quot;Order Form&quot; means the ordering documents for purchases hereunder, including addenda thereto, that are entered into between You and Us from time to time. Order Forms shall be deemed incorporated herein by reference.</div>
 

<div>&quot;Services&quot; means the online, Web-based applications and platform provided by Us via http://www.salesforce.com and/or other designated websites as described in the User Guide, that are ordered by You as part of an Order Form, including any associated offline components but excluding Third-Party Applications.</div>
 

<div>&quot;Third-Party Applications&quot; means online, Web-based applications and offline software products that are provided by third parties but may be configured to interoperate with the Services, including but not limited to those listed on the AppExchange. &quot;User Guide&quot; means the online user guide for the Service, accessible via http://www.infintysolutions.com, as updated from time to time.</div>
 

<div>&quot;Users&quot; means individuals who are authorized by You to use the Services, for whom subscriptions to the Services have been purchased, and who have been supplied user identifications and passwords by You (or by Us at Your request). Users may include but are not limited to Your employees, consultants, contractors, and agents; or third parties with which You transact business.</div>
 

<div>&quot;We&quot;, &quot;Us&quot;, or &quot;Our&quot; means Infinity Solutions, Inc.</div>
 

<div>&quot;You&quot; or &quot;Your&quot; means the company or other legal entity for which You are accepting this Agreement, and Affiliates of that company or entity.</div>
 

<div>&quot;Your Data&quot; means all electronic data or information submitted by You to the Services. iygyfofofoff</div>","All",,"1.0","a0j1N00000BD9rnQAD","a0i1N0000073NwqQAE","In Review",,"Modified",,"false",,"false"
"a0i1N0000073NwpQAE","false","USD",,"true",,"<div><b>Master Subscription Agreement</b></div>
 

<div>THIS MASTER SUBSCRIPTION AGREEMENT (&quot;AGREEMENT&quot;) GOVERNS YOUR PURCHASE OF SUBSCRIPTIONS TO, AND ONGOING USE OF, INFINITY SOLUTIONS CPQ APPLICATION AND/OR RELATED SERVICES.</div>
 

<div>BY ACCEPTING THIS AGREEMENT, EITHER BY CLICKING A BOX INDICATING YOUR ACCEPTANCE OR BY EXECUTING AN ORDER FORM THAT REFERENCES THIS AGREEMENT, YOU AGREE TO THE TERMS OF THIS AGREEMENT. IF YOU ARE ENTERING INTO THIS AGREEMENT ON BEHALF OF A COMPANY OR OTHER LEGAL ENTITY, YOU REPRESENT THAT YOU HAVE THE AUTHORITY TO BIND SUCH ENTITY AND ITS AFFILIATES TO THESE TERMS AND CONDITIONS, IN WHICH CASE THE TERMS &quot;YOU&quot; OR &quot;YOUR&quot; SHALL REFER TO SUCH ENTITY AND ITS AFFILIATES. IF YOU DO NOT HAVE SUCH AUTHORITY, OR IF YOU DO NOT AGREE WITH THESE TERMS AND CONDITIONS, YOU MUST NOT ACCEPT THIS AGREEMENT AND MAY NOT USE THE SERVICES.<br><br>In the event that this Local Service Agreement is signed prior to execution of the Agreement between You and Us (&quot;Agreement&quot;), this Local Service Agreement shall be deemed to incorporate terms and conditions of the existing Master Services Agreement between Us and You dated {!quote.SBQQ__StartDate__c}, as amended; until such time as the Agreement is signed.</div>
 

<div>You may not access the Services if You are Our direct competitor, except with Our prior written consent. In addition, You may not access the Services for purposes of monitoring their availability, performance or functionality, or for any other benchmarking or competitive purposes.</div>
 

<div>This Agreement was last updated on March 20, 2014. It is effective between You and Us as of the date of You accepting this Agreement.<br> </div>","All",,"0.9",,,"Approved",,"Standard","Preamble","true",,"false"
"a0i1N0000073NwqQAE","false","USD",,"true",,"<div><b>1. DEFINITIONS</b></div>
 

<div>&quot;Affiliate&quot; means any entity which directly or indirectly controls, is controlled by, or is under common control with the subject entity.</div>
 

<div>&quot;Control&quot; for purposes of this definition, means direct or indirect ownership or control of more than 50% of the voting interests of the subject entity.</div>
 

<div>&quot;AppExchange&quot; means the online directory of applications that interoperate with the Services, located at http://www.salesforce.com/appexchange or at any successor websites.</div>
 

<div>&quot;Malicious Code&quot; means viruses, worms, time bombs, Trojan horses and other harmful or malicious code, files, scripts, agents or programs.</div>
 

<div>&quot;Order Form&quot; means the ordering documents for purchases hereunder, including addenda thereto, that are entered into between You and Us from time to time. Order Forms shall be deemed incorporated herein by reference.</div>
 

<div>&quot;Services&quot; means the online, Web-based applications and platform provided by Us via http://www.salesforce.com and/or other designated websites as described in the User Guide, that are ordered by You as part of an Order Form, including any associated offline components but excluding Third-Party Applications.</div>
 

<div>&quot;Third-Party Applications&quot; means online, Web-based applications and offline software products that are provided by third parties but may be configured to interoperate with the Services, including but not limited to those listed on the AppExchange. &quot;User Guide&quot; means the online user guide for the Service, accessible via http://www.infintysolutions.com, as updated from time to time.</div>
 

<div>&quot;Users&quot; means individuals who are authorized by You to use the Services, for whom subscriptions to the Services have been purchased, and who have been supplied user identifications and passwords by You (or by Us at Your request). Users may include but are not limited to Your employees, consultants, contractors, and agents; or third parties with which You transact business.</div>
 

<div>&quot;We&quot;, &quot;Us&quot;, or &quot;Our&quot; means Infinity Solutions, Inc.</div>
 

<div>&quot;You&quot; or &quot;Your&quot; means the company or other legal entity for which You are accepting this Agreement, and Affiliates of that company or entity.</div>
 

<div>&quot;Your Data&quot; means all electronic data or information submitted by You to the Services.</div>","All",,"1.0",,,"Approved",,"Standard","Standard Definitions","true",,"false"
"a0i1N0000073NwrQAE","false","USD",,"true",,"<div><b>2. SERVICES</b></div>
 

<div><b>2.1. Provision of Services.</b> We shall make the Services available to You pursuant to this Agreement and the relevant Order Forms during a subscription term and your timely payment of all applicable fees. You agree that Your purchases hereunder are neither contingent on the delivery of any future functionality or features nor dependent on any oral or written public comments made by Us regarding future functionality or features.</div>
 

<div><b>2.2. User Subscriptions.</b> Unless otherwise specified in the applicable Order Form, (i) Services are purchased as User subscriptions and may be accessed by no more than the specified number of Users, (ii) additional User subscriptions may be added during the subscription term by signing an additional Order Form and paying the additional fees for such additional User subscriptions, prorated to reflect the effective date of the Order Form under which they are purchased, and (iii) the added User subscriptions shall terminate on the same date as the pre-existing subscriptions. User subscriptions are for designated Users and cannot be shared or used by more than one User but may be reassigned to new Users replacing former Users who no longer require ongoing use of the Services.<br> </div>","All",,"2.0",,,"Approved",,"Standard","Services","true",,"false"
"a0i1N0000073NwsQAE","false","USD",,"true",,"<div><b>3. USE OF THE SERVICES</b></div>
 

<div><b>3.1 Our Responsibilities.</b> In addition to providing the Services as described in Section 2.1, We shall provide You with basic support, in accordance with Our then-current support policy for the Services, during the applicable subscription term. The current version of the support policies can be found at http://www.infinitysolutions.com/support-policies. You acknowledge that availability of the Services depends upon the availability of Salesforce.com and the Force.com platform and that We have no control over such availability. Accordingly, We make no representations, warranties, or covenants regarding the availability of the Services to the extent that such availability depends upon the availability of Salesforce.com and the Force.com platform.</div>
 

<div><b>3.2. Your Responsibilities.</b> You shall (a) be responsible for Users&#39; compliance with this Agreement, (b) be solely responsible for the accuracy, quality, integrity, and legality of Your Data and of the means by which You acquired Your Data, (c) use commercially reasonable efforts to prevent unauthorized access to or use of the Services, and notify Us promptly of any such unauthorized access or use, and (d) use the Services only in accordance with the User Guide and applicable laws and government regulations. You shall not (u) make the Services available to anyone other than Users, (v) sell, resell, rent or lease the Services, (w) use the Services to store or transmit infringing, libelous, or otherwise unlawful or tortious material, or to store or transmit material in violation of third-party privacy rights, (x) use the Services to store or transmit Malicious Code, (y) interfere with or disrupt the integrity or performance of the Services or third-party data contained therein, or (z) attempt to gain unauthorized access to the Services or their related systems or networks.</div>
 

<div><b>3.3. Your Data.</b> The Services access and process Your Data in order to generate reports, quotes, analyses, documents, and/or results. If You choose to save such output, it will be saved as Your Data in Your account at Salesforce.com. However, Your ability to recreate or duplicate such output will cease upon expiration or termination of this Agreement. We have no control over (and, accordingly, make no representations, warranties, or covenants regarding) the storage, accessibility, or protection of Your Data by Salesforce.com or any other providers with whom You may store Your Data or whose services are required for the storage, accessibility, or protection of Your Data. We will not access Your Data except (a) as necessary to provide the Services; (b) at Your request, to provide technical support or to assist in the implementation or configuration of the Services; or (c) as compelled by law in accordance with Section 6.4 (Compelled Disclosure).<br> </div>","All",,"3.0",,,"Approved",,"Standard","Use of Services","true",,"false"
